legajo=100, ubicacion=presidencia, reportTo=, name=Presidente, reportees=0
legajo=421, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado421, reportees=0
legajo=422, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado422, reportees=0
legajo=423, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado423, reportees=0
legajo=424, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado424, reportees=0
legajo=425, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado425, reportees=0
legajo=426, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado426, reportees=0
legajo=427, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado427, reportees=0
legajo=428, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado428, reportees=0
legajo=429, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado429, reportees=0
legajo=430, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado430, reportees=0
legajo=431, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado431, reportees=0
legajo=432, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado432, reportees=0
legajo=433, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado433, reportees=0
legajo=434, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado434, reportees=0
legajo=435, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado435, reportees=0
legajo=436, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado436, reportees=0
legajo=437, ubicacion=diputado, reportTo=Jefe Diputado, name=diputado437, reportees=0
